Size: 13x13

Symboles : [11, 12, 13, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Rules:
Rule 0 (BlockRule): [(1,0), (0,0), (12,0), (11,0), (10,0), (9,0), (8,0), (7,0), (6,0), (5,0), (4,0), (3,0), (2,0)]
Rule 0 (BlockRule): [(2,1), (1,1), (0,1), (12,1), (11,1), (10,1), (9,1), (8,1), (7,1), (6,1), (5,1), (4,1), (3,1)]
Rule 0 (BlockRule): [(3,2), (2,2), (1,2), (0,2), (12,2), (11,2), (10,2), (9,2), (8,2), (7,2), (6,2), (5,2), (4,2)]
Rule 0 (BlockRule): [(4,3), (3,3), (2,3), (1,3), (0,3), (12,3), (11,3), (10,3), (9,3), (8,3), (7,3), (6,3), (5,3)]
Rule 0 (BlockRule): [(5,4), (4,4), (3,4), (2,4), (1,4), (0,4), (12,4), (11,4), (10,4), (9,4), (8,4), (7,4), (6,4)]
Rule 0 (BlockRule): [(6,5), (5,5), (4,5), (3,5), (2,5), (1,5), (0,5), (12,5), (11,5), (10,5), (9,5), (8,5), (7,5)]
Rule 0 (BlockRule): [(7,6), (6,6), (5,6), (4,6), (3,6), (2,6), (1,6), (0,6), (12,6), (11,6), (10,6), (9,6), (8,6)]
Rule 0 (BlockRule): [(8,7), (7,7), (6,7), (5,7), (4,7), (3,7), (2,7), (1,7), (0,7), (12,7), (11,7), (10,7), (9,7)]
Rule 0 (BlockRule): [(9,8), (8,8), (7,8), (6,8), (5,8), (4,8), (3,8), (2,8), (1,8), (0,8), (12,8), (11,8), (10,8)]
Rule 0 (BlockRule): [(10,9), (9,9), (8,9), (7,9), (6,9), (5,9), (4,9), (3,9), (2,9), (1,9), (0,9), (12,9), (11,9)]
Rule 0 (BlockRule): [(11,10), (10,10), (9,10), (8,10), (7,10), (6,10), (5,10), (4,10), (3,10), (2,10), (1,10), (0,10), (12,10)]
Rule 0 (BlockRule): [(12,11), (11,11), (10,11), (9,11), (8,11), (7,11), (6,11), (5,11), (4,11), (3,11), (2,11), (1,11), (0,11)]
Rule 0 (BlockRule): [(12,12), (11,12), (10,12), (9,12), (8,12), (7,12), (6,12), (5,12), (4,12), (3,12), (2,12), (1,12), (0,12)]
Rule 0 (ColumnRule): [(0,0), (0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (0,7), (0,8), (0,9), (0,10), (0,11), (0,12)]
Rule 0 (ColumnRule): [(1,0), (1,1), (1,2), (1,3), (1,4), (1,5), (1,6), (1,7), (1,8), (1,9), (1,10), (1,11), (1,12)]
Rule 0 (ColumnRule): [(2,1), (2,2), (2,3), (2,4), (2,5), (2,6), (2,7), (2,8), (2,9), (2,10), (2,11), (2,12), (2,0)]
Rule 0 (ColumnRule): [(3,2), (3,3), (3,4), (3,5), (3,6), (3,7), (3,8), (3,9), (3,10), (3,11), (3,12), (3,0), (3,1)]
Rule 0 (ColumnRule): [(4,3), (4,4), (4,5), (4,6), (4,7), (4,8), (4,9), (4,10), (4,11), (4,12), (4,0), (4,1), (4,2)]
Rule 0 (ColumnRule): [(5,4), (5,5), (5,6), (5,7), (5,8), (5,9), (5,10), (5,11), (5,12), (5,0), (5,1), (5,2), (5,3)]
Rule 0 (ColumnRule): [(6,5), (6,6), (6,7), (6,8), (6,9), (6,10), (6,11), (6,12), (6,0), (6,1), (6,2), (6,3), (6,4)]
Rule 0 (ColumnRule): [(7,6), (7,7), (7,8), (7,9), (7,10), (7,11), (7,12), (7,0), (7,1), (7,2), (7,3), (7,4), (7,5)]
Rule 0 (ColumnRule): [(8,7), (8,8), (8,9), (8,10), (8,11), (8,12), (8,0), (8,1), (8,2), (8,3), (8,4), (8,5), (8,6)]
Rule 0 (ColumnRule): [(9,8), (9,9), (9,10), (9,11), (9,12), (9,0), (9,1), (9,2), (9,3), (9,4), (9,5), (9,6), (9,7)]
Rule 0 (ColumnRule): [(10,9), (10,10), (10,11), (10,12), (10,0), (10,1), (10,2), (10,3), (10,4), (10,5), (10,6), (10,7), (10,8)]
Rule 0 (ColumnRule): [(11,10), (11,11), (11,12), (11,0), (11,1), (11,2), (11,3), (11,4), (11,5), (11,6), (11,7), (11,8), (11,9)]
Rule 0 (ColumnRule): [(12,11), (12,12), (12,0), (12,1), (12,2), (12,3), (12,4), (12,5), (12,6), (12,7), (12,8), (12,9), (12,10)]

Rules Cell:
Cell (0, 0): [0, 13]
Cell (1, 0): [0, 14]
Cell (2, 0): [0, 15]
Cell (3, 0): [0, 16]
Cell (4, 0): [0, 17]
Cell (5, 0): [0, 18]
Cell (6, 0): [0, 19]
Cell (7, 0): [0, 20]
Cell (8, 0): [0, 21]
Cell (9, 0): [0, 22]
Cell (10, 0): [0, 23]
Cell (11, 0): [0, 24]
Cell (12, 0): [0, 25]
Cell (0, 1): [1, 13]
Cell (1, 1): [1, 14]
Cell (2, 1): [1, 15]
Cell (3, 1): [1, 16]
Cell (4, 1): [1, 17]
Cell (5, 1): [1, 18]
Cell (6, 1): [1, 19]
Cell (7, 1): [1, 20]
Cell (8, 1): [1, 21]
Cell (9, 1): [1, 22]
Cell (10, 1): [1, 23]
Cell (11, 1): [1, 24]
Cell (12, 1): [1, 25]
Cell (0, 2): [2, 13]
Cell (1, 2): [2, 14]
Cell (2, 2): [2, 15]
Cell (3, 2): [2, 16]
Cell (4, 2): [2, 17]
Cell (5, 2): [2, 18]
Cell (6, 2): [2, 19]
Cell (7, 2): [2, 20]
Cell (8, 2): [2, 21]
Cell (9, 2): [2, 22]
Cell (10, 2): [2, 23]
Cell (11, 2): [2, 24]
Cell (12, 2): [2, 25]
Cell (0, 3): [3, 13]
Cell (1, 3): [3, 14]
Cell (2, 3): [3, 15]
Cell (3, 3): [3, 16]
Cell (4, 3): [3, 17]
Cell (5, 3): [3, 18]
Cell (6, 3): [3, 19]
Cell (7, 3): [3, 20]
Cell (8, 3): [3, 21]
Cell (9, 3): [3, 22]
Cell (10, 3): [3, 23]
Cell (11, 3): [3, 24]
Cell (12, 3): [3, 25]
Cell (0, 4): [4, 13]
Cell (1, 4): [4, 14]
Cell (2, 4): [4, 15]
Cell (3, 4): [4, 16]
Cell (4, 4): [4, 17]
Cell (5, 4): [4, 18]
Cell (6, 4): [4, 19]
Cell (7, 4): [4, 20]
Cell (8, 4): [4, 21]
Cell (9, 4): [4, 22]
Cell (10, 4): [4, 23]
Cell (11, 4): [4, 24]
Cell (12, 4): [4, 25]
Cell (0, 5): [5, 13]
Cell (1, 5): [5, 14]
Cell (2, 5): [5, 15]
Cell (3, 5): [5, 16]
Cell (4, 5): [5, 17]
Cell (5, 5): [5, 18]
Cell (6, 5): [5, 19]
Cell (7, 5): [5, 20]
Cell (8, 5): [5, 21]
Cell (9, 5): [5, 22]
Cell (10, 5): [5, 23]
Cell (11, 5): [5, 24]
Cell (12, 5): [5, 25]
Cell (0, 6): [6, 13]
Cell (1, 6): [6, 14]
Cell (2, 6): [6, 15]
Cell (3, 6): [6, 16]
Cell (4, 6): [6, 17]
Cell (5, 6): [6, 18]
Cell (6, 6): [6, 19]
Cell (7, 6): [6, 20]
Cell (8, 6): [6, 21]
Cell (9, 6): [6, 22]
Cell (10, 6): [6, 23]
Cell (11, 6): [6, 24]
Cell (12, 6): [6, 25]
Cell (0, 7): [7, 13]
Cell (1, 7): [7, 14]
Cell (2, 7): [7, 15]
Cell (3, 7): [7, 16]
Cell (4, 7): [7, 17]
Cell (5, 7): [7, 18]
Cell (6, 7): [7, 19]
Cell (7, 7): [7, 20]
Cell (8, 7): [7, 21]
Cell (9, 7): [7, 22]
Cell (10, 7): [7, 23]
Cell (11, 7): [7, 24]
Cell (12, 7): [7, 25]
Cell (0, 8): [8, 13]
Cell (1, 8): [8, 14]
Cell (2, 8): [8, 15]
Cell (3, 8): [8, 16]
Cell (4, 8): [8, 17]
Cell (5, 8): [8, 18]
Cell (6, 8): [8, 19]
Cell (7, 8): [8, 20]
Cell (8, 8): [8, 21]
Cell (9, 8): [8, 22]
Cell (10, 8): [8, 23]
Cell (11, 8): [8, 24]
Cell (12, 8): [8, 25]
Cell (0, 9): [9, 13]
Cell (1, 9): [9, 14]
Cell (2, 9): [9, 15]
Cell (3, 9): [9, 16]
Cell (4, 9): [9, 17]
Cell (5, 9): [9, 18]
Cell (6, 9): [9, 19]
Cell (7, 9): [9, 20]
Cell (8, 9): [9, 21]
Cell (9, 9): [9, 22]
Cell (10, 9): [9, 23]
Cell (11, 9): [9, 24]
Cell (12, 9): [9, 25]
Cell (0, 10): [10, 13]
Cell (1, 10): [10, 14]
Cell (2, 10): [10, 15]
Cell (3, 10): [10, 16]
Cell (4, 10): [10, 17]
Cell (5, 10): [10, 18]
Cell (6, 10): [10, 19]
Cell (7, 10): [10, 20]
Cell (8, 10): [10, 21]
Cell (9, 10): [10, 22]
Cell (10, 10): [10, 23]
Cell (11, 10): [10, 24]
Cell (12, 10): [10, 25]
Cell (0, 11): [11, 13]
Cell (1, 11): [11, 14]
Cell (2, 11): [11, 15]
Cell (3, 11): [11, 16]
Cell (4, 11): [11, 17]
Cell (5, 11): [11, 18]
Cell (6, 11): [11, 19]
Cell (7, 11): [11, 20]
Cell (8, 11): [11, 21]
Cell (9, 11): [11, 22]
Cell (10, 11): [11, 23]
Cell (11, 11): [11, 24]
